name,artist,cluster,danceability,energy,acousticness,instrumentalness,valence,tempo
Desde Que o Samba é Samba                                                                                                                                                        ,Gilberto Gil                                    ,25,0.789,0.268,0.822,0.177,0.683,125.185
Insensatez: A Mulher Que Fez                                                                                                                                                     ,Graveola                                        ,4,0.789,0.486,0.32,0.0,0.947,92.579
Ponto De Marinheiro / Marinheiro Só                                                                                                                                              ,Zé Maurício Machline                            ,42,0.775,0.509,0.559,0.0,0.831,97.05
Tanto Mar                                                                                                                                                                        ,Chico Buarque                                   ,47,0.427,0.504,0.645,2.68e-05,0.885,180.328
Diz Que Eu Fui Por Aí                                                                                                                                                            ,Eva Fernández                                   ,31,0.689,0.448,0.866,0.0033,0.498,89.225
Argumento                                                                                                                                                                        ,Paulinho Da Viola                               ,42,0.731,0.762,0.807,0.0,0.926,113.939
Chuck Berry Fields Forever                                                                                                                                                       ,Gilberto Gil                                    ,39,0.584,0.682,0.366,0.000269,0.716,153.42
Brasil Pandeiro                                                                                                                                                                  ,Novos Baianos                                   ,4,0.549,0.555,0.791,0.000311,0.876,97.724
Preta Pretinha                                                                                                                                                                   ,Novos Baianos                                   ,4,0.704,0.561,0.845,7.65e-06,0.773,124.861
Swing de Campo Grande                                                                                                                                                            ,Novos Baianos                                   ,16,0.764,0.697,0.781,0.0,0.937,104.016
Máquina de Ritmo - Ao Vivo                                                                                                                                                       ,Gilberto Gil                                    ,3,0.587,0.296,0.879,0.598,0.509,172.675
Back In Bahia (Ao Vivo)                                                                                                                                                          ,Gilberto Gil                                    ,15,0.667,0.457,0.712,4.55e-06,0.592,144.407
Sabor Colorido / Moça Bonita                                                                                                                                                     ,"Elomar, Geraldo Azevedo, Vital Farias, Xangai ",39,0.517,0.226,0.808,4.66e-06,0.525,78.868
O Namorado Da Viúva                                                                                                                                                              ,Jorge Ben Jor                                   ,31,0.742,0.745,0.554,0.000275,0.971,87.988
Taj Mahal                                                                                                                                                                        ,Jorge Ben Jor                                   ,29,0.587,0.703,0.556,0.0,0.725,136.704
Manada                                                                                                                                                                           ,Bagunço                                         ,16,0.651,0.485,0.116,0.697,0.736,108.861
Dolcenera                                                                                                                                                                        ,Fabrizio De André                               ,16,0.68,0.492,0.177,5.63e-05,0.595,125.827
Nomes de Favela                                                                                                                                                                  ,Moyseis Marques                                 ,2,0.753,0.516,0.372,0.0,0.862,92.068
Magalenha                                                                                                                                                                        ,Sérgio Mendes                                   ,11,0.82,0.633,0.129,0.0,0.716,116.622
Deixa A Gira Girar                                                                                                                                                               ,Os Tincoãs                                      ,42,0.512,0.602,0.621,0.000172,0.563,112.901
Senhora liberdade                                                                                                                                                                ,Zezé Motta                                      ,42,0.592,0.531,0.445,0.0,0.589,92.107
Berekerê - Voice                                                                                                                                                                 ,Geraldo Azevedo                                 ,25,0.434,0.573,0.83,0.0,0.786,172.189
Catendé - Live                                                                                                                                                                  ,Vinícius de Moraes                              ,23,0.45,0.328,0.466,8.24e-06,0.209,139.385
Coração Imprudente                                                                                                                                                               ,Paulinho Da Viola                               ,31,0.711,0.427,0.873,0.00159,0.963,93.607
Dimokránsa                                                                                                                                                                       ,Mayra Andrade                                   ,25,0.686,0.33,0.863,1.14e-05,0.742,154.407
Kenha Ki Ben Ki Ta Bai - Live                                                                                                                                                    ,Mayra Andrade                                   ,39,0.566,0.482,0.452,0.000204,0.626,132.34
Baião Destemperado                                                                                                                                                               ,Barbatuques                                     ,24,0.86,0.741,0.425,0.63,0.744,95.715
Adeus Até Mais Ver                                                                                                                                                               ,Homem ao Mar                                    ,21,0.544,0.239,0.874,0.00451,0.269,83.87
Baianá                                                                                                                                                                           ,Barbatuques                                     ,41,0.777,0.573,0.47,0.0138,0.622,95.087
Meu Esquema                                                                                                                                                                      ,Mundo Livre S/A                                 ,25,0.744,0.47,0.878,0.0747,0.657,138.058
Oração                                                                                                                                                                           ,A Banda Mais Bonita da Cidade                   ,23,0.425,0.474,0.613,2.44e-06,0.379,128.631
Trem Das Onze                                                                                                                                                                    ,Adoniran Barbosa                                ,31,0.675,0.449,0.541,0.00337,0.803,91.773
O Leaozinho                                                                                                                                                                      ,Caetano Veloso                                  ,42,0.597,0.121,0.829,2.06e-06,0.571,127.076
Sonho Meu                                                                                                                                                                        ,Dona Ivone Lara                                 ,25,0.597,0.444,0.638,4.92e-06,0.444,148.065
Samba De Verao                                                                                                                                                                   ,Caetano Veloso                                  ,23,0.731,0.299,0.889,0.223,0.46,119.768
Sonhos                                                                                                                                                                           ,Caetano Veloso                                  ,31,0.626,0.0914,0.826,0.000131,0.471,121.171
Shimbalaiê - Live                                                                                                                                                                ,Caetano Veloso                                  ,39,0.567,0.179,0.819,1.47e-05,0.39,78.577
Sampa - Live                                                                                                                                                                     ,Caetano Veloso                                  ,39,0.682,0.197,0.814,0.0,0.322,113.807
Nega Maluca / Billie Jean / Eleanor Rigby                                                                                                                                        ,Caetano Veloso                                  ,25,0.807,0.203,0.888,4.86e-05,0.487,113.055
Get Out Of Town                                                                                                                                                                  ,Caetano Veloso                                  ,31,0.724,0.193,0.928,0.00154,0.198,108.581
Coração Vagabundo                                                                                                                                                                ,Caetano Veloso                                  ,23,0.557,0.134,0.967,0.28,0.205,126.497
Life On Mars - 1999 Remaster                                                                                                                                                     ,David Bowie                                     ,23,0.443,0.605,0.503,5.96e-06,0.37,122.648
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,25,0.712,0.266,0.905,0.0,0.316,125.307
Alegria                                                                                                                                                                          ,Batida                                          ,11,0.715,0.691,0.00331,0.218,0.747,136.015
